iter	RMSE
0	0.9979795523
1	0.9977177481
2	0.9974852377
3	0.9972441837
4	0.9969974649
5	0.9967792158
6	0.9965809598
7	0.9963722974
8	0.9961609335
9	0.9959658365
10	0.9957886901
11	0.995616601
12	0.9954447122
13	0.9952657651
14	0.9951160213
15	0.9949566946
16	0.9948160717
17	0.9946669831
18	0.994540288
19	0.9944080213
20	0.9942685044
21	0.9941326505
22	0.9940020068
23	0.9938651298
24	0.9937369837
25	0.9936112885
26	0.9934887359
27	0.9933670896
28	0.9932544129
29	0.9931438627
30	0.993034584
31	0.9929098204
32	0.9928106567
33	0.9927016377
34	0.9926083479
35	0.9925153787
36	0.9924134418
37	0.9923207179
38	0.9922624769
39	0.9921728357
40	0.9920721486
41	0.991997747
42	0.9919099933
43	0.9918361397
44	0.9917477784
45	0.9916513993
46	0.9915663511
47	0.9914875596
48	0.99138433
49	0.9912932905
50	0.9911915577
51	0.9911307109
52	0.991079755
53	0.9909850591
54	0.9909081677
55	0.9908237485
56	0.990763209
57	0.9906755439
58	0.9906047991
59	0.9905506482
60	0.9904763632
61	0.9904146804
62	0.9903591988
63	0.9902797832
64	0.9902008894
65	0.9901525597
66	0.9900877532
67	0.9900313289
68	0.9899561464
69	0.9898948274
70	0.9898282869
71	0.9897591989
72	0.9897136549
73	0.9896548972
74	0.9895875808
75	0.989523398
76	0.9894562048
77	0.9893860666
78	0.9893347565
79	0.9892567456
80	0.9891960441
81	0.9891201703
82	0.9890694082
83	0.9889890958
84	0.9889317494
85	0.9888589956
86	0.9888030962
87	0.9887530452
88	0.9886727732
89	0.9886446367
90	0.9885803597
91	0.9885032482
