iter	Passed	Remaining
0	16	16388
1	27	13537
2	37	12604
3	46	11612
4	57	11411
5	66	10950
6	74	10607
7	83	10413
8	92	10194
9	101	10042
10	109	9878
11	118	9790
12	127	9669
13	136	9633
14	145	9540
15	154	9505
16	163	9441
17	171	9374
18	179	9283
19	188	9250
20	197	9186
21	206	9198
22	215	9132
23	224	9148
24	234	9131
25	242	9092
26	250	9037
27	258	8975
28	266	8930
29	274	8877
30	282	8840
31	290	8793
32	298	8739
33	306	8706
34	314	8667
35	322	8641
36	331	8615
37	339	8600
38	345	8516
39	353	8485
40	361	8453
41	369	8434
42	377	8403
43	386	8403
44	394	8367
45	404	8383
46	411	8352
47	420	8334
48	428	8313
49	436	8292
50	443	8258
51	451	8229
52	457	8182
53	466	8174
54	473	8142
55	481	8124
56	488	8081
57	496	8069
58	504	8051
59	511	8005
60	519	7994
61	526	7968
62	535	7965
63	542	7936
64	552	7951
65	559	7917
66	567	7906
67	574	7869
68	582	7855
69	590	7839
70	597	7823
71	605	7806
72	612	7775
73	619	7748
74	626	7729
75	634	7716
76	642	7698
77	650	7689
78	658	7672
79	666	7662
80	673	7639
81	682	7636
82	688	7612
83	699	7622
84	705	7597
85	713	7582
86	722	7580
87	729	7560
88	737	7546
89	742	7504
90	750	7492
91	757	7477
